Fnc.bin crc=ada1275c size=914979 mode=fly dirs=right,down notes=[]
IN MOTION: 90 video frames, 56 ticks, lag 34 (37.78%), 1.607 frames/tick, cam end [992, 1008]
WHOLE: stepped=90 lag=34 LFC_delta=34 loadavg ['9.74', '11.71', '11.00'] -> ['9.76', '11.69', '10.99']
by cam_y/512: 0:42/17 512:48/17
by cam_x/512: 0:44/18 512:46/16
PROFILE: ticks 56 sampleCycles 11392499 = 203437/tick; identity remainder 0 (0 means every cycle attributed within the returned rows); truncated=False abandoned=0 depthExceeded=0
work (sample - VSync_Wait incl) 141448/tick = 1.106 frames/tick
  interrupt vint: incl 14062/tick self 70/tick
  interrupt hint: incl 0/tick self 0/tick
routine                               incl/tick  self/tick calls/tick  callers(incl/tick)
$games.sonic4.ojz_scroll_test$GameSt     189164        138       0.00  ?:189164
GameState_OJZScroll_Update               127001        804       0.98  $games.sonic4.ojz_scroll_test$GameState_OJZScroll_Update$skip_entity_scan:127001
Tile_Cache_Fill                           74196       2290       0.98  GameState_OJZScroll_Update:74196
VSync_Wait                                61989      53648       0.98  $games.sonic4.ojz_scroll_test$GameState_OJZScroll_Update$skip_entity_scan:61989
TileCache_FillRow                         36845      12368       1.89  Tile_Cache_Fill:36845
TileCache_FillColumn                      32010       3562       1.82  Tile_Cache_Fill:32010
TileCache_CopyBlockColumn                 20568       7065       8.46  TileCache_FillColumn:20568
PageCache_PatchRun_Seq                    17853      17853      11.07  TileCache_FillRow:17853
VBlank_Handler                            13992        591       1.59  ?:13992
PageCache_PatchRun_Col                    13503      13503      10.25  TileCache_CopyBlockColumn:13503
TileCache_DecompressBlock                 13488       1261       1.45  TileCache_FillColumn:6265, TileCache_FillRow:4495, Tile_Cache_Fill:2728
Parallax_Update                           13066      11452       0.98  GameState_OJZScroll_Update:13066
Section_UpdateColumns                     12625       1411       0.98  GameState_OJZScroll_Update:12625
S4LZ_DecompressDict                       12226      12226       1.07  TileCache_DecompressBlock:12226
VInt_Level                                10038        981       0.98  VBlank_Handler:10038
PageIn_Process                             8342        280       0.98  VSync_Wait:8342
PageCache_Prefetch                         8061       2437       0.98  PageIn_Process:8061
RunObjects                                 8017        200       0.98  GameState_OJZScroll_Update:8017
PageCache_Audit                            6143       6143       0.02  GameState_OJZScroll_Update:6143
$engine.objects.core$RunObjects$run_       5769       1613       0.98  RunObjects:5769
TileCache_FindStagedBlock                  4815       4815      29.32  TileCache_FillRow:2130, TileCache_FillColumn:1615, PageCache_Prefetch:992, Tile_Cache_Fill:78
$engine.page_cache$PageCache_Prefetc       4632       4632       0.82  PageCache_Prefetch:4632
Render_Sprites                             4299       3281       0.98  GameState_OJZScroll_Update:4299
Canopy_Probe                               3954       3954       0.98  Section_UpdateColumns:3954
Draw_TileColumn                            3917       1537       1.55  Section_UpdateColumns:3917
Process_DMA_Critical                       3904       3904       1.59  VInt_Level:2412, VInt_Lag:1492
VInt_DrawLevel                             3806       3806       0.98  VInt_Level:3806
EntityWindow_Scan                          3396       1998       0.98  GameState_OJZScroll_Update:3396
VInt_Lag                                   3363        216       0.61  VBlank_Handler:3363
Draw_TileRow_FromCache                     3344       1285       1.62  Section_UpdateColumns:3344
finished=1
