leg            before lag/frames  after lag/frames  ticks  path          coverage max before -> after            parallax output
plain_run          31 / 1232          1 / 1202       1201    1 ticks off (max dx 0, dy 1)  [1, 0, 1, -3] -> [1, 0, 1, -3]  0 of 1183 ticks differ (18 camera-mismatch ticks skipped)
plain_spin         34 / 1277          2 / 1245       1243    0 ticks off (max dx 0, dy 0)  [1, 0, 1, -3] -> [1, 0, 1, -3]  0 of 1236 ticks differ (7 camera-mismatch ticks skipped)
debug_run          39 / 1240          6 / 1207       1201    6 ticks off (max dx 5, dy 7)  [1, 0, 1, -3] -> [0, 0, 0, -3]  0 of 1201 ticks differ (0 camera-mismatch ticks skipped)
debug_spin         45 / 1288          7 / 1250       1243    5 ticks off (max dx 5, dy 7)  [1, 0, 1, -3] -> [0, 0, 0, -3]  0 of 1243 ticks differ (0 camera-mismatch ticks skipped)
debug_diag         37 / 1100         35 / 1098       1063    0 ticks off (max dx 0, dy 0)  [2, -2, 2, -16] -> [2, -2, 2, -16]  0 of 1062 ticks differ (1 camera-mismatch ticks skipped)
              Emerald Hill band (cam y < 1024): 33/89 -> 29/85
debug_right         0 / 1100          0 / 1100       1100    0 ticks off (max dx 0, dy 0)  [2, -2, -15, -16] -> [2, -2, -15, -16]  0 of 1100 ticks differ (0 camera-mismatch ticks skipped)
debug_down          0 / 400           0 / 400         400    0 ticks off (max dx 0, dy 0)  [-23, 0, 2, -16] -> [-23, 0, 2, -16]  0 of 400 ticks differ (0 camera-mismatch ticks skipped)
cdebug_diag        14 / 700          12 / 698         686    0 ticks off (max dx 0, dy 0)  [2, -2, 2, -16] -> [2, -2, 2, -16]  0 of 685 ticks differ (1 camera-mismatch ticks skipped)
cdebug_right        0 / 700           0 / 700         700    0 ticks off (max dx 0, dy 0)  [2, -2, -15, -16] -> [2, -2, -15, -16]  0 of 700 ticks differ (0 camera-mismatch ticks skipped)
cdebug_down         0 / 700           0 / 700         700    0 ticks off (max dx 0, dy 0)  [-23, 0, 2, -16] -> [-23, 0, 2, -16]  0 of 700 ticks differ (0 camera-mismatch ticks skipped)
cplain_run         11 / 1800          2 / 1791       1789    0 ticks off (max dx 0, dy 0)  [0, 0, 0, -8] -> [0, 0, 0, -8]  0 of 1789 ticks differ (0 camera-mismatch ticks skipped)
cdebug_run         26 / 1800          2 / 1776       1774    0 ticks off (max dx 0, dy 0)  [1, 0, 0, -8] -> [0, 0, 0, -8]  0 of 1774 ticks differ (0 camera-mismatch ticks skipped)
