sample_rel,ch,fnum,block,mask,midi,freq
0,5,1290,0,15,36.014,65.46
42,6,1290,0,15,36.014,65.46
5554,1,645,0,15,24.014,32.73
5617,2,1290,1,15,48.014,130.92
5676,3,1290,0,15,36.014,65.46
5718,4,1290,2,15,60.014,261.84
5941,5,1290,1,15,48.014,130.92
6009,6,645,0,15,24.014,32.73
11567,4,1290,2,15,60.014,261.84
11891,5,1290,1,15,48.014,130.92
11933,6,1290,0,15,36.014,65.46
17436,1,1290,0,15,36.014,65.46
17509,2,1290,1,15,48.014,130.92
17566,4,1290,2,15,60.014,261.84
17823,5,1290,1,15,48.014,130.92
17891,6,1290,0,15,36.014,65.46
23379,1,645,0,15,24.014,32.73
23451,2,1290,1,15,48.014,130.92
23484,3,1290,0,15,36.014,65.46
23517,4,1290,2,15,60.014,261.84
23764,5,1290,1,15,48.014,130.92
23832,6,645,0,15,24.014,32.73
29325,1,1290,0,15,36.014,65.46
29410,3,512,0,15,20.016,25.98
29442,4,1290,2,15,60.014,261.84
29705,5,1290,1,15,48.014,130.92
29773,6,1290,0,15,36.014,65.46
35304,2,1290,1,15,48.014,130.92
35357,4,1290,2,15,60.014,261.84
35655,5,1290,1,15,48.014,130.92
35697,6,645,0,15,24.014,32.73
41199,1,645,0,15,24.014,32.73
41280,3,1290,0,15,36.014,65.46
41312,4,1290,2,15,60.014,261.84
41586,5,1290,1,15,48.014,130.92
41629,6,645,0,15,24.014,32.73
47140,1,1290,0,15,36.014,65.46
47172,2,1290,1,15,48.014,130.92
47228,4,1290,2,15,60.014,261.84
47528,5,1290,0,15,36.014,65.46
47570,6,1290,0,15,36.014,65.46
53082,1,645,0,15,24.014,32.73
53113,2,1290,1,15,48.014,130.92
53146,3,1290,0,15,36.014,65.46
53179,4,1290,2,15,60.014,261.84
53468,5,1290,1,15,48.014,130.92
53536,6,645,0,15,24.014,32.73
59022,1,683,0,15,25.005,34.66
59100,4,1290,2,15,60.014,261.84
59418,5,1290,1,15,48.014,130.92
59460,6,1290,0,15,36.014,65.46
64963,1,1367,0,15,37.018,69.37
64994,2,1290,1,15,48.014,130.92
65051,4,1290,2,15,60.014,261.84
65350,5,1290,1,15,48.014,130.92
65402,6,645,0,15,24.014,32.73
70904,1,683,0,15,25.005,34.66
70959,3,1290,0,15,36.014,65.46
70991,4,1290,2,15,60.014,261.84
71309,5,1290,1,15,48.014,130.92
71351,6,645,0,15,24.014,32.73
76845,1,1367,0,15,37.018,69.37
76877,2,1290,0,15,36.014,65.46
76934,3,512,0,15,20.016,25.98
76966,4,1290,2,15,60.014,261.84
77239,5,1290,1,15,48.014,130.92
77307,6,1290,0,15,36.014,65.46
82786,1,683,0,15,25.005,34.66
82817,2,1290,1,15,48.014,130.92
82849,3,512,0,15,20.016,25.98
82881,4,1290,2,15,60.014,261.84
83182,5,1290,1,15,48.014,130.92
83224,6,645,0,15,24.014,32.73
88727,1,683,0,15,25.005,34.66
88758,2,1290,0,15,36.014,65.46
88818,3,1290,0,15,36.014,65.46
88850,4,1290,2,15,60.014,261.84
89114,5,1290,1,15,48.014,130.92
89156,6,1290,0,15,36.014,65.46
94668,1,1367,0,15,37.018,69.37
94699,2,1290,0,15,36.014,65.46
94756,4,1290,2,15,60.014,261.84
95055,5,1290,0,15,36.014,65.46
95098,6,1290,0,15,36.014,65.46
100609,1,645,0,15,24.014,32.73
100672,2,1290,1,15,48.014,130.92
100706,3,1290,0,15,36.014,65.46
100740,4,1290,2,15,60.014,261.84
100996,5,1290,1,15,48.014,130.92
101064,6,645,0,15,24.014,32.73
106624,4,1290,2,15,60.014,261.84
106946,5,1290,1,15,48.014,130.92
106988,6,1290,0,15,36.014,65.46
112491,1,1290,0,15,36.014,65.46
112567,2,1290,1,15,48.014,130.92
112624,4,1290,2,15,60.014,261.84
112878,5,1290,1,15,48.014,130.92
112920,6,645,0,15,24.014,32.73
118441,1,645,0,15,24.014,32.73
118508,2,1290,1,15,48.014,130.92
118542,3,1290,0,15,36.014,65.46
118574,4,1290,2,15,60.014,261.84
118819,5,1290,1,15,48.014,130.92
118861,6,645,0,15,24.014,32.73
124376,1,1290,0,15,36.014,65.46
124461,3,512,0,15,20.016,25.98
124493,4,1290,2,15,60.014,261.84
124760,5,1290,1,15,48.014,130.92
124828,6,1290,0,15,36.014,65.46
130359,2,1290,1,15,48.014,130.92
130412,4,1290,2,15,60.014,261.84
130710,5,1290,1,15,48.014,130.92
130752,6,645,0,15,24.014,32.73
136255,1,645,0,15,24.014,32.73
136335,3,1290,0,15,36.014,65.46
136367,4,1290,2,15,60.014,261.84
136642,5,1290,1,15,48.014,130.92
136684,6,1290,0,15,36.014,65.46
142196,1,1290,0,15,36.014,65.46
142227,2,1290,1,15,48.014,130.92
142284,4,1290,2,15,60.014,261.84
142583,5,1290,0,15,36.014,65.46
142625,6,645,0,15,24.014,32.73
148136,1,645,0,15,24.014,32.73
148199,2,1290,1,15,48.014,130.92
148233,3,1290,0,15,36.014,65.46
148265,4,1290,2,15,60.014,261.84
148523,5,1290,1,15,48.014,130.92
148591,6,645,0,15,24.014,32.73
154077,1,683,0,15,25.005,34.66
154161,4,1290,2,15,60.014,261.84
154473,5,1290,1,15,48.014,130.92
154516,6,1290,0,15,36.014,65.46
160018,1,1367,0,15,37.018,69.37
160075,2,1290,1,15,48.014,130.92
160132,4,1290,2,15,60.014,261.84
